Year{20,21,22,23,24,25 },,,,,,,,,,,,,,,,
Month{Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Jan, Feb, Mar, Firsthalf, Secondhalf, All },,,,,,,
Stay{Individual, Cumulative, CuIn},,,,,,,,,,,,,,,,,,,
Country{China, Korea, Taiwan, HK, Singapore, Malaysia, Thailand, India, Indonesia, Vietnam, Philippines, Russia, UK, France, Germany, US, Canada, Australia, Other},,,
@data form,,,,,,,,,,,,,,,,,,,,,
Year, Month, Stay, China, Korea, Taiwan, HK, Singapore, Malaysia, Thailand, India, Indonesia, Vietnam, Philippines, Russia, UK, France, Germany, US, Canada, Australia, Other

@data,,,,,,,,,,,,,,,,,,,,,
24, Firsthalf, Individual,156565,115231,364150,108651,49876,11513,20959,499,na,na,na,4404,2204,1690,1326,12646,2077,3867,37765
24, Firsthalf, Cumulative,179753,135925,390520,141653,57967,14547,27086,736,na,na,na,10091,3241,2897,2017,18301,3601,6243,50405
24, Secondhalf, Individual,64057,105621,451159,154644,74275,28111,41599,721,na,na,na,5028,5283,1784,1826,19452,2957,46724,56964
24, Secondhalf, Cumulative,83946,129745,486343,221531,109044,37738,55066,1109,na,na,na,11052,10852,3008,3231,30078,6240,185176,81963
24, All, Individual,220622,220852,815309,263295,124151,39624,62558,1220,na,na,na,9432,7487,3474,3152,32098,5034,50591,94729
24, All, Cumulative,263699,265670,876863,363184,167011,52285,82152,1845,na,na,na,21143,14093,5905,5248,48379,9841,191419,132368
25, Apr, Individual,6832,9688,58149,13501,6215,2065,10336,69,1337,525,37,541,772,166,294,1795,409,1255,4151
25, Apr, Cumulative,8222,10861,61893,18704,7288,2773,13809,96,1458,828,69,1141,930,194,433,2605,708,3534,5699
25, May, Individual,10760,12816,79970,21426,17276,5709,12965,123,1650,421,12,806,535,278,207,3147,505,716,6542
25, May, Cumulative,12858,14390,84884,26734,19502,7029,16227,160,1887,513,14,1599,683,389,343,4103,758,1166,8380
25, Jun, Individual,15123,23572,105215,25279,23015,2005,8271,55,764,295,45,841,410,347,323,3900,497,1057,5443
25, Jun, Cumulative,17499,26439,113139,31715,27065,2823,10424,72,1113,345,58,1571,576,558,424,5230,707,1819,7893
25, Jul, Individual,40698,38833,131397,46407,14874,7277,24434,117,681,371,24,1060,565,551,409,5109,812,1327,9843
25, Jul, Cumulative,46622,47807,141697,63277,17490,9338,30215,144,813,426,27,2021,771,881,682,7578,1325,1812,13357
25, Aug, Individual,40453,44324,96348,40862,10504,4275,12240,126,2111,432,97,1384,602,910,384,3657,844,702,9362
25, Aug, Cumulative,46373,54554,104331,54341,12944,5269,15550,184,2712,488,169,2546,893,1354,593,4850,1102,1354,12765
25, Sep, Individual,21717,14213,100236,22398,8247,3147,8467,32,808,262,61,1062,406,273,298,3327,634,970,6930
25, Sep, Cumulative,24565,16975,105930,28662,10106,3989,10413,56,849,347,114,2040,580,389,584,4731,971,1674,9065
25, Oct, Individual,30210,9229,119769,32587,15027,6370,20689,85,731,249,145,1114,614,563,241,4226,499,1065,9432
25, Oct, Cumulative,35571,10466,126244,39212,17948,7288,25241,97,796,380,160,1820,784,734,316,5110,644,1536,19291
25, Nov, Individual,18654,6620,94188,19031,10091,5600,15707,54,966,268,24,1338,286,165,357,2391,422,584,6252
25, Nov, Cumulative,21502,7607,98035,23495,12020,6329,19790,68,1450,369,27,2241,381,273,476,3518,586,923,7815
25, Dec, Individual,28241,19077,108832,44660,50407,21269,19972,369,5670,430,166,1324,961,187,208,4393,614,7263,13313
25, Dec, Cumulative,34710,23510,117660,67323,77739,30511,26542,678,7788,568,181,2401,1909,374,444,7278,1079,26427,19457
25, Jan, Individual,51906,29763,106444,31432,6301,3117,12080,81,925,165,74,1522,1460,382,354,4292,911,22856,12188
25, Jan, Cumulative,61551,36286,118959,48499,12398,4321,16364,114,1426,268,100,3227,2905,1014,640,6806,1893,96742,20881
25, Feb, Individual,61932,29453,127415,57358,11530,9577,23032,285,1255,318,193,1138,1997,906,498,9669,1112,20384,16543
25, Feb, Cumulative,74881,36066,137674,82283,16616,11979,30602,426,1614,617,237,2307,4068,1540,935,15286,1827,71208,25738
25, Mar, Individual,22104,11084,89373,19258,7589,3269,23603,125,909,170,48,1172,852,302,310,3076,384,6969,7133
25, Mar, Cumulative,27378,15643,97312,31527,13764,4364,30651,295,1355,264,115,2088,1655,622,410,5004,767,23930,10865
25, Firsthalf, Individual,135583,143446,571315,169873,80131,24478,76713,522,7351,2306,276,5694,3290,2525,1915,20935,3701,6027,42271
25, Firsthalf, Cumulative,156139,171026,611874,223433,94395,31221,96638,712,8832,2947,451,10918,4433,3765,3059,29097,5571,11359,57159
25, Secondhalf, Individual,213047,105226,646021,204326,100945,49202,115083,999,10456,1600,650,7608,6170,2505,1968,28047,3942,59121,64861
25, Secondhalf, Cumulative,255593,129578,695884,292339,150485,64792,149190,1678,14429,2466,820,14084,11702,4557,3221,43002,6796,220766,104047
25, All, Individual,348630,248672,1217336,374199,181076,73680,191796,1521,17807,3906,926,13302,9460,5030,3883,48982,7643,65148,107132
25, All, Cumulative,411732,300604,1307758,515772,244880,96013,245828,2390,23261,5413,1271,25002,16135,8322,6280,72099,12367,232125,161206
20, Apr,CuIn,1.04514742,1.04358507,1.027261548,1.057434347,1.049965422,na,na,na,na,na,1.186046512,2.133165829,1.429799427,1.549450549,1.320610687,1.296113074,1.40942029,1.625401929,1.313740116
20, May,CuIn,1.111525705,1.043169904,1.039388042,1.090240915,1.052652363,na,na,na,na,na,1.253968254,1.443708609,1.310344828,1.41955836,1.423076923,1.267063922,1.213675214,1.464957265,1.066682156
20, Jun,CuIn,1.159968323,1.134517435,1.04206322,1.082632918,1.072967812,na,na,na,na,na,1.608108108,1.726315789,1.347708895,1.304147465,1.493449782,1.399699474,1.50209205,1.675182482,1.203138001
20, Jul,CuIn,1.130500489,1.205441775,1.059832069,1.121149784,1.0671434,na,na,na,na,na,1.666666667,2.356253705,1.528901734,1.707013575,1.666131621,1.657487923,1.449871465,1.475930972,1.21270967
20, Aug,CuIn,1.204143389,1.197652152,1.06196162,1.110013372,1.070994475,na,na,na,na,na,1.528301887,1.854527938,1.238410596,1.355414013,2.510204082,1.266275841,1.248084291,1.511564626,1.255223881
20, Sep,CuIn,1.223282071,1.078632094,1.05286118,1.087634222,1.075528377,na,na,na,na,na,1.285714286,1.426785714,1.393564356,1.347639485,1.185495119,1.357954545,1.310344828,1.540716612,1.135384274
20, Oct,CuIn,1.212265193,1.101360246,1.048450176,1.147930435,1.084184915,na,na,na,na,na,1.4,1.42384106,1.236893204,1.466960352,1.279166667,1.170731707,1.492753623,1.360097324,1.198712446
20, Nov,CuIn,1.176962503,1.11024735,1.055430712,1.212990328,1.070476387,na,na,na,na,na,1,1.298363811,1.189274448,1.921568627,1.203252033,1.32,1.304347826,1.56302521,1.201323988
20, Dec,CuIn,1.146872167,1.208673047,1.073018234,1.410499374,1.321721536,na,na,na,na,na,1.724137931,1.735849057,2.385521886,2.231292517,1.699300699,1.52660152,1.909090909,5.238221437,1.432404767
20, Jan,CuIn,1.175320765,1.622959558,1.095035436,1.329873927,1.194341564,na,na,na,na,na,1.736,2.730109204,2.891566265,2.167664671,1.632258065,1.528014616,2.781094527,5.456170821,1.657002976
20, Feb,CuIn,1.213961922,1.195966447,1.064572426,1.343297671,1.302612827,na,na,na,na,na,1.700854701,1.622324159,2.189925681,2.295138889,1.311111111,1.595661711,1.975342466,4.582625483,1.367197062
20, Mar,CuIn,1.17751938,1.105379616,1.07467498,1.37303404,1.405657786,na,na,na,na,na,1.272727273,2.234375,1.974789916,2.295774648,1.248608534,1.351403061,1.660818713,3.741455347,1.598761184
20, Firsthalf,CuIn,1.145267738,1.146049837,1.049413945,1.100653413,1.065259907,na,na,na,na,na,1.436666667,1.875657664,1.389106229,1.490450726,1.686114352,1.417629596,1.360660248,1.538168847,1.190034447
